id,front,answer,acceptableAnswers,fullWord,hint,category
W001,일석,이조,이조,일석이조,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W002,새옹,지마,지마,새옹지마,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W003,사필,귀정,귀정,사필귀정,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W004,전화,위복,위복,전화위복,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W005,고진,감래,감래,고진감래,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W006,유비,무환,무환,유비무환,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W007,동문,서답,서답,동문서답,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W008,자업,자득,자득,자업자득,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W009,우왕,좌왕,좌왕,우왕좌왕,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W010,일편,단심,단심,일편단심,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W011,오리,무중,무중,오리무중,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W012,용두,사미,사미,용두사미,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W013,대기,만성,만성,대기만성,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W014,금상,첨화,첨화,금상첨화,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W015,청출,어람,어람,청출어람,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W016,각골,난망,난망,각골난망,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W017,군계,일학,일학,군계일학,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W018,설상,가상,가상,설상가상,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W019,일사,천리,천리,일사천리,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W020,주객,전도,전도,주객전도,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
